ID,Title,Pre-condition,Test Steps,Test Data,Expected Result (ER),
TC_32,Verify Cancel button on Checkout: Overview page,User is on Checkout: Overview page,1. Click Cancel button,N/A,"User is redirected back to Products page, cart items retained",
TC_33,Verify Finish button completes order,User is on Checkout: Overview page,1. Click Finish button,N/A,User is redirected to Checkout: Complete page with confirmation message,
TC_34,Verify order confirmation message and details,User is on Checkout: Complete page,1. Observe confirmation page content,N/A,"Page shows: ""Thank you for your order!"", Order ID, and ""Back Home"" button",
TC_35,Verify Back Home button navigates to Products page,User is on Checkout: Complete page,"1. Click ""Back Home"" button",N/A,"User is redirected to Products page, cart is emptied",
TC_36,Verify hamburger menu opens and displays options,User is logged in on Products page,"1. Click hamburger menu icon (top-left)
2. Observe menu options",N/A,"Menu displays: All Items, About, Logout, Reset App, Twitter, Facebook, LinkedIn",
TC_37,Verify Logout functionality,User is logged in,"1. Open hamburger menu
2. Click Logout option",N/A,User is logged out and redirected to Login page,
TC_38,Verify Reset App State functionality,User has items in cart or modified state,"1. Open hamburger menu
2. Click ""Reset App State""
3. Confirm reset",N/A,"App state resets: cart emptied, filters cleared, user remains logged in",
TC_39,Verify About page opens in new tab,User is logged in,"1. Open hamburger menu
2. Click ""About"" link",N/A,Sauce Labs about page opens in new browser tab,
LOGIN_TC_001,Verify login with valid credentials,User is on the login page,"1. Open the login page
2. Enter valid username & password
3. Click login","Username: standard_user
Password: secret_sauce",User successfully logs in and is redirected to the homepage,
LOGIN_TC_002,Verify login with an invalid username,User is on the login page,"1. Open the login page
2. Enter invalid username & valid password
3. Click login","Username: invalid_user
Password: secret_sauce","Error message: ""Username and password do not match""",
LOGIN_TC_003,Verify login with an invalid password,User is on the login page,"1. Open the login page
2. Enter valid username & invalid password
3. Click login","Username: standard_user
Password: wrong_pass","Error message: ""Username and password do not match""",
LOGIN_TC_004,Verify login when username and password are empty,User is on the login page,"1. Open the login page
2. Leave username & password blank
3. Click login","Username: (empty)
Password: (empty)","Error message: ""Username is required""",
LOGIN_TC_005,Verify login with only username entered,User is on the login page,"1. Open the login page
2. Enter valid username & leave password blank
3. Click login","Username: standard_user
Password: (empty)","Error message: ""Username is required""",
LOGIN_TC_006,Verify login with only password entered,User is on the login page,"1. Open the login page
2. Leave username blank & enter valid password
3. Click login","Username: (empty)
Password: secret_sauce","Error message: ""Username and password do not match""",
LOGIN_TC_007,Verify login with case-sensitive username/password,User is on the login page,"1. Open the login page
2. Enter username/password in incorrect case
3. Click login","Username: Standard_User
Password: Secret_Sauce",Error message or unsuccessful login,
LOGIN_TC_008,Verify UI elements on the login page,User is on the login page,"1. Open the login page
2. Check for username, password fields, and login button",N/A,All elements should be present and properly aligned,
LOGIN_TC_009,Verify that password can't be copied from password field,User is on the login page,"1. Open the login page
2. Enter valid username & leave password
3. Try to copy password and paste it somewhere else",N/A,Password can't be copied,
LOGIN_TC_010,Verify login with SQL injection attempt,User is on the login page,"1. Open the login page
2. Enter ' OR '1'='1 in username/password fields
3. Click login","Username: ' OR '1'='1
Password: ' OR '1'='1","Error message: ""Password is required"" or login blocked",
PRODUCT_TC_001,Verify that all products are displayed,User is logged in successfully,"1. Login with valid credentials
2. Navigate to the Product page
3. Check the product list","Username: standard_user
Password: secret_sauce","Page should load with product listings, filter, and cart icon visible. All products should be visible with images, titles, prices, and Add to Cart buttons",
PRODUCT_TC_002,Verify navigation to the cart page,User is on Products page with items in cart,"1. Login and go to products
2. Click Add to Cart for any product
3. Click the cart icon on products page",Any product,User should be redirected to the cart page,
PRODUCT_TC_003,Verify added product appears in cart,User is on Products page,"1. Login and go to products
2. Click Add to Cart for any product
3. Check the cart icon number",Any product,Cart icon should display correct number of added products. Product should be added to cart, button should change to Remove
PRODUCT_TC_004,Verify product removal from cart,User has items in cart,"1. Add a product to the cart
2. Navigate to the cart page
3. Click Remove button",Any product,Product should be removed from cart, button should change back to Add to Cart
PRODUCT_TC_005,Verify cart icon updates when adding/removing products,User is on Products page,"1. Add a product to the cart
2. Check the cart icon number
3. Remove product and verify badge updates",N/A,Cart icon should display correct number of added products and update on removal,
PRODUCT_TC_006,Verify UI elements on the products page,User is logged in,"1. Login and navigate to product page
2. Check for all elements like product list, cart icon, sorting dropdown",N/A,All elements should be properly aligned and functional,
PRODUCT_TC_007,Verify product sorting functionality,User is on Products page,"1. Select sorting dropdown
2. Choose an option (e.g., Price: Low to High)",Sort: Price (low to high),Products should be sorted accordingly,
PRODUCT_TC_008,Verify logout functionality,User is logged in,"1. Click menu button
2. Click Logout",N/A,User should be redirected to login page,
PRODUCT_TC_009,Verify restricted access to product page without login,User is not logged in,1. Try to access product page directly without logging in,N/A,User should be redirected to login page,
CART_TC_001,Verify that the cart page loads correctly,User has items in cart,"1. Login and add a product to the cart
2. Navigate to the cart page",N/A,Cart page should load with added products displayed,
CART_TC_002,Verify that the cart page displays correctly when empty,User has empty cart,1. Login and go to cart page without adding any items,N/A,"Cart page should display ""Your cart is empty"" message",
CART_TC_003,Verify Continue Shopping button functionality,User is on Cart page,"1. Go to cart page
2. Click Continue Shopping",N/A,User should be redirected back to the inventory page,
CART_TC_004,Verify Checkout button navigates to checkout page,User has items in cart,"1. Go to cart page
2. Click Checkout",N/A,User should be redirected to checkout page,
CART_TC_005,Verify that cart items persist after logout and re-login,User has items in cart,"1. Add items to cart
2. Logout and login again",N/A,Items should still be present in the cart,
CART_TC_006,Verify restricted access to cart page without login,User is not logged in,1. Try to access cart page directly without logging in,N/A,User should be redirected to login page,
CART_TC_007,Verify product quantity display in cart,User has multiple quantities of a product,"1. Add multiple quantities of a product
2. Go to cart page",Quantity: 2+,The correct quantity should be displayed,
CHECKOUT1_TC_001,Verify that the checkout step one page loads correctly,User has items in cart and clicks Checkout,"1. Login and add products to cart
2. Navigate to the cart page
3. Click Checkout",N/A,Checkout step one page should load with input fields,
CHECKOUT1_TC_002,Verify that the first name field is required,User is on Checkout Step One,"1. Go to checkout step one page
2. Enter last name and postal code only
3. Click Continue","First Name: (empty)
Last Name: Doe
Postal Code: 12345","Error message: ""First Name is required""",
CHECKOUT1_TC_003,Verify that the last name field is required,User is on Checkout Step One,"1. Go to checkout step one page
2. Enter first name and postal code only
3. Click Continue","First Name: John
Last Name: (empty)
Postal Code: 12345","Error message: ""Last Name is required""",
CHECKOUT1_TC_004,Verify that the postal code field is required,User is on Checkout Step One,"1. Go to checkout step one page
2. Enter first name and last name only
3. Click Continue","First Name: John
Last Name: Doe
Postal Code: (empty)","Error message: ""Postal Code is required""",
CHECKOUT1_TC_005,Verify successful checkout step one submission,User is on Checkout Step One,"1. Enter valid first name, last name, and postal code
2. Click Continue","First Name: John
Last Name: Doe
Postal Code: 12345",User should be redirected to checkout step two page,
CHECKOUT1_TC_006,Verify Cancel button navigates back to cart,User is on Checkout Step One,"1. Go to checkout step one page
2. Click Cancel",N/A,User should be redirected back to cart page,
CHECKOUT1_TC_007,Verify invalid postal code handling,User is on Checkout Step One,"1. Go to checkout step one page
2. Enter invalid postal code (e.g., abc)
3. Click Continue","First Name: John
Last Name: Doe
Postal Code: abc",Error message should appear for invalid postal code,
CHECKOUT2_TC_001,Verify that the checkout step two page loads correctly,User completed checkout step one,"1. Login and add products to cart
2. Complete checkout step one
3. Navigate to checkout step two",N/A,Checkout step two page should load with order summary,
CHECKOUT2_TC_002,Verify that selected products are displayed in order summary,User is on Checkout Step Two,"1. Add products to cart
2. Proceed to checkout step two",N/A,"Cart list, product details, buttons, and total price should be correctly displayed",
CHECKOUT2_TC_003,Verify total price calculation (including tax),User is on Checkout Step Two,"1. Add multiple products to cart
2. Proceed to checkout step two",N/A,Total price should match sum of item prices + tax,
CHECKOUT2_TC_004,Verify Finish button completes the checkout,User is on Checkout Step Two,"1. Navigate to checkout step two
2. Click Finish",N/A,User should be redirected to order confirmation page,
CHECKOUT2_TC_005,Verify Cancel button navigates back to inventory page,User is on Checkout Step Two,"1. Navigate to checkout step two
2. Click Cancel",N/A,User should be redirected to inventory page,
CHECKOUT2_TC_006,Verify user cannot skip step one and directly access step two,User has not completed step one,1. Try to access checkout step two URL without completing step one,N/A,User should be redirected to checkout step one,
CHECKOUT2_TC_007,Verify tax is calculated correctly on total price,User is on Checkout Step Two,"1. Add products to cart
2. Proceed to checkout step two",N/A,Tax should be applied as per the correct rate,
CHECKOUT2_TC_008,Verify product details are correct in order summary,User is on Checkout Step Two,"1. Add products to cart
2. Proceed to checkout step two",N/A,Product details should match what was selected in inventory,
AUTH_TC_001,Verify user can register with valid email and password,User is on registration page,"1. Navigate to /account/register
2. Enter valid email
3. Enter valid password (8+ chars)
4. Confirm password
5. Click Create account","Email: testuser@example.com
Password: SecurePass123!
Confirm: SecurePass123!","Account created successfully, user redirected to account dashboard, confirmation email sent",
AUTH_TC_002,Verify registration fails with invalid email format,User is on registration page,"1. Navigate to /account/register
2. Enter invalid email format
3. Enter valid password
4. Click Create account","Email: invalid-email
Password: SecurePass123!","Error message: ""Please enter a valid email address"", form not submitted",
AUTH_TC_003,Verify registration fails when passwords don't match,User is on registration page,"1. Navigate to /account/register
2. Enter valid email
3. Enter password
4. Enter different confirm password
5. Click Create account","Email: test@example.com
Password: Pass123!
Confirm: WrongPass456!","Error message: ""Passwords do not match"", form remains on page",
AUTH_TC_004,Verify registration fails with weak password,User is on registration page,"1. Navigate to /account/register
2. Enter valid email
3. Enter weak password (<8 chars)
4. Click Create account","Email: test@example.com
Password: weak","Error message: ""Password must be at least 8 characters and include uppercase, lowercase, and number""",
AUTH_TC_005,Verify registration fails when email already exists,User is on registration page,"1. Navigate to /account/register
2. Enter existing registered email
3. Enter valid password
4. Click Create account","Email: existing@example.com
Password: SecurePass123!","Error message: ""This email is already registered. Please login or use a different email.""",
AUTH_TC_006,Verify user can login with valid credentials,User is on login page,"1. Navigate to /account/login
2. Enter registered email
3. Enter correct password
4. Click Sign in","Email: testuser@example.com
Password: SecurePass123!","User authenticated, redirected to account dashboard, session cookie set",
AUTH_TC_007,Verify login fails with incorrect password,User is on login page,"1. Navigate to /account/login
2. Enter valid email
3. Enter wrong password
4. Click Sign in","Email: testuser@example.com
Password: WrongPass!","Error message: ""Invalid email or password"", user remains on login page",
AUTH_TC_008,Verify login fails with unregistered email,User is on login page,"1. Navigate to /account/login
2. Enter unregistered email
3. Enter any password
4. Click Sign in","Email: unknown@example.com
Password: AnyPass123!","Error message: ""Invalid email or password"", no indication if email exists (security)",
AUTH_TC_009,Verify login fails when email field is empty,User is on login page,"1. Navigate to /account/login
2. Leave email empty
3. Enter password
4. Click Sign in","Email: (empty)
Password: SecurePass123!","Inline validation: ""Email is required"", form not submitted",
AUTH_TC_010,Verify login fails when password field is empty,User is on login page,"1. Navigate to /account/login
2. Enter email
3. Leave password empty
4. Click Sign in","Email: test@example.com
Password: (empty)","Inline validation: ""Password is required"", form not submitted",
AUTH_TC_011,Verify forgot password flow initiates correctly,User is on login page,"1. Click ""Forgot your password?""
2. Enter registered email
3. Click Reset password",Email: testuser@example.com,"Confirmation message: ""If an account exists, you'll receive reset instructions"", email sent",
AUTH_TC_012,Verify password reset link expires after 24 hours,User has received reset email,"1. Wait 24+ hours after receiving email
2. Click reset link in email",Reset token: expired,"Error page: ""This password reset link has expired. Please request a new one.""",
AUTH_TC_013,Verify password reset with valid new password,User clicked valid reset link,"1. Open reset link
2. Enter new strong password
3. Confirm new password
4. Click Update password","New Password: NewSecure456!
Confirm: NewSecure456!","Success message, user redirected to login, can login with new password",
AUTH_TC_014,Verify logout functionality clears session,User is logged in,"1. Click account icon
2. Select Logout
3. Verify navigation",N/A,"User redirected to homepage, session cleared, cart persisted if guest, account menu shows login option",
AUTH_TC_015,Verify session timeout after inactivity,User is logged in and idle,"1. Login successfully
2. Remain inactive for 30 minutes
3. Attempt to access account page",Session timeout: 30 min,"User redirected to login with message: ""Session expired. Please login again.""",
AUTH_TC_016,Verify remember me checkbox persists login,User is on login page,"1. Check ""Remember me""
2. Enter valid credentials
3. Login
4. Close browser
5. Reopen site","Email: test@example.com
Password: SecurePass123!
Remember me: checked",User remains logged in after browser restart (persistent cookie),
AUTH_TC_017,Verify login with social account (Google),User is on login page,"1. Click ""Continue with Google""
2. Select Google account
3. Authorize access",OAuth: Google,"User authenticated via Google, account created/linked, redirected to dashboard",
AUTH_TC_018,Verify login with social account (Facebook),User is on login page,"1. Click ""Continue with Facebook""
2. Enter Facebook credentials
3. Authorize access",OAuth: Facebook,"User authenticated via Facebook, account created/linked, redirected to dashboard",
AUTH_TC_019,Verify account lockout after 5 failed attempts,User is on login page,"1. Enter valid email
2. Enter wrong password 5 times consecutively","Email: test@example.com
Password: wrong1-5","After 5th attempt: ""Account temporarily locked. Try again in 15 minutes"" or CAPTCHA shown",
AUTH_TC_020,Verify CAPTCHA appears after suspicious activity,User triggers rate limiting,"1. Make rapid login attempts
2. Observe login form",Activity: rapid requests,reCAPTCHA or hCaptcha challenge appears before allowing further attempts,
AUTH_TC_021,Verify email verification required after registration,User just registered,"1. Register with new email
2. Try to login immediately
3. Check inbox for verification",Email: newuser@example.com,"Login blocked with message: ""Please verify your email first"", verification email sent",
AUTH_TC_022,Verify email verification link works correctly,User received verification email,"1. Click verification link in email
2. Observe page behavior",Verification token: valid,"Success message: ""Email verified! You can now login"", redirected to login page",
AUTH_TC_023,Verify verification link can only be used once,User already verified email,1. Click same verification link again,Verification token: used,"Message: ""This verification link has already been used"" or redirects to login",
AUTH_TC_024,Verify password change requires current password,User is logged in and on account settings,"1. Navigate to Change Password
2. Enter wrong current password
3. Enter new password
4. Submit","Current: WrongPass!
New: NewPass123!
Confirm: NewPass123!","Error: ""Current password is incorrect"", password not changed",
AUTH_TC_025,Verify password change with correct current password,User is logged in,"1. Navigate to Change Password
2. Enter correct current password
3. Enter strong new password
4. Submit","Current: SecurePass123!
New: UpdatedPass456!
Confirm: UpdatedPass456!","Success message, user logged out and prompted to login with new password",
AUTH_TC_026,Verify new password cannot match old password,User changing password,"1. Enter current password
2. Enter same password as new
3. Submit","Current: SamePass123!
New: SamePass123!","Error: ""New password cannot be the same as your current password""",
AUTH_TC_027,Verify account deletion requires confirmation,User on account settings,"1. Click ""Delete Account""
2. Enter password to confirm
3. Confirm deletion",Password: SecurePass123!,"Account soft-deleted, user logged out, confirmation email sent, data retained per policy",
AUTH_TC_028,Verify guest checkout option is available,User browsing as guest,"1. Add product to cart
2. Proceed to checkout
3. Observe checkout options",Cart: has items,"Option to ""Continue as guest"" visible alongside login/register options",
AUTH_TC_029,Verify guest can complete purchase without account,User selected guest checkout,"1. Enter shipping details as guest
2. Enter payment info
3. Place order",Guest data: valid,"Order confirmed, order number displayed, guest receipt email sent, no account created",
AUTH_TC_030,Verify guest can create account after purchase,User completed guest checkout,"1. On order confirmation page
2. Click ""Create account with this email""
3. Set password","Email: guest@example.com
Password: GuestPass123!","Account created with order history linked, user logged in automatically",
HOMEPAGE_TC_001,Verify homepage loads within 3 seconds,User accesses root URL,"1. Navigate to https://sauce-demo.myshopify.com
2. Measure load time with DevTools",Network: 3G simulation,"Page fully loads (LCP) in ?3 seconds, Core Web Vitals pass",
HOMEPAGE_TC_002,Verify homepage displays featured products carousel,User on homepage,"1. Scroll to featured section
2. Observe product cards",Section: Featured Products,"Carousel shows 4-6 products with images, titles, prices, Add to Cart buttons",
HOMEPAGE_TC_003,Verify homepage hero banner displays correctly,User on homepage,1. Observe top section of page,Hero section,Large promotional image/banner with CTA button visible and clickable,
HOMEPAGE_TC_004,Verify navigation menu expands on hover (desktop),User on homepage desktop,1. Hover over main menu categories,"Menu: Collections, Products","Dropdown submenu appears with category links, stays visible while hovering",
HOMEPAGE_TC_005,Verify mobile hamburger menu toggles correctly,User on homepage mobile,"1. Click hamburger icon (mobile)
2. Observe menu
3. Click close/X",Viewport: <768px,"Menu slides in from side, shows all navigation links, close button works",
HOMEPAGE_TC_006,Verify search icon opens search bar,User on homepage,"1. Click search icon in header
2. Observe search input",Header: search icon,"Search bar expands/focuses, keyboard appears on mobile, can type query",
HOMEPAGE_TC_007,Verify cart icon shows item count badge,User added items to cart,"1. Add 2 products to cart
2. Observe cart icon in header",Cart: 2 items,"Cart icon displays badge with number ""2"", updates dynamically",
HOMEPAGE_TC_008,Verify footer contains required links and info,User scrolls to homepage bottom,"1. Scroll to footer
2. Verify sections",Footer sections,"Contains: About, Contact, Privacy Policy, Terms, Social icons, Copyright, Payment methods",
HOMEPAGE_TC_009,Verify homepage is responsive across breakpoints,User resizes browser,"1. Test at 320px, 768px, 1024px, 1440px widths","Viewports: mobile, tablet, desktop","Layout adapts correctly, no horizontal scroll, elements reflow appropriately",
HOMEPAGE_TC_010,Verify homepage SEO meta tags are present,User views page source,"1. Right-click ? View Page Source
2. Search for meta tags",Source code,"Contains: <title>, <meta name=""description"">, Open Graph tags, canonical URL",
HOMEPAGE_TC_011,Verify homepage language selector works (if multi-lang),User on homepage,"1. Click language dropdown
2. Select different language","Languages: EN, FR, ES","Page content translates, URL updates with locale, preference saved in cookie",
HOMEPAGE_TC_012,Verify currency selector updates prices display,User on homepage,"1. Change currency from USD to EUR
2. Observe product prices","Currencies: USD, EUR, GBP","All prices update with correct symbol and conversion rate, cart totals update",
HOMEPAGE_TC_013,Verify homepage loads without JavaScript errors,User opens browser console,"1. Navigate to homepage
2. Open DevTools Console",Console: Network/Console tabs,"No red error messages, all scripts load successfully, no 404 resources",
HOMEPAGE_TC_014,Verify homepage images have alt text for accessibility,User inspects homepage images,"1. Right-click images ? Inspect
2. Check alt attributes","Images: product, banner","All <img> tags have descriptive alt text, decorative images have alt=""""",
HOMEPAGE_TC_015,Verify homepage keyboard navigation works,User uses keyboard only,"1. Tab through homepage elements
2. Verify focus indicators","Keyboard: Tab, Shift+Tab","Focus ring visible on interactive elements, logical tab order, skip-to-content link works",
HOMEPAGE_TC_016,Verify homepage social proof section displays reviews,User scrolls to reviews section,1. Locate testimonials/reviews,Section: Customer Reviews,"Shows star ratings, customer quotes, photos (if applicable), trust badges",
HOMEPAGE_TC_017,Verify homepage newsletter signup form works,User on homepage,"1. Enter email in footer signup
2. Click Subscribe",Email: test@example.com,"Success message: ""Thanks for subscribing!"", email added to mailing list, no duplicate submissions",
HOMEPAGE_TC_018,Verify homepage loads correctly with ad blocker enabled,User has ad blocker active,"1. Enable uBlock Origin/AdBlock
2. Navigate to homepage",Extensions: ad blocker,"Page loads without broken layout, essential functionality unaffected, non-essential ads hidden",
HOMEPAGE_TC_019,Verify homepage displays sale/promotion badges on products,User on homepage during sale,1. Observe featured products,Products: on sale,"Products show ""Sale"", ""-20%"", or promotional badges, original/strikethrough prices visible",
HOMEPAGE_TC_020,Verify homepage quick view modal works for products,User on homepage,"1. Click ""Quick View"" on product card
2. Observe modal",Product: any featured item,"Modal opens with product image, title, price, variant selector, Add to Cart button",
PRODUCTS_TC_001,Verify product collection page loads with all items,User navigates to /collections/all,"1. Click ""All Products"" in nav
2. Observe product grid",Collection: all,Page shows all active products in grid/list view with pagination if >24 items,
PRODUCTS_TC_002,Verify product grid view displays correctly,User on collection page,"1. Switch to grid view (if toggle exists)
2. Observe layout",View mode: grid,"Products display in responsive grid (3-4 cols desktop, 2 tablet, 1 mobile)",
PRODUCTS_TC_003,Verify product list view displays correctly,User on collection page,"1. Switch to list view
2. Observe layout",View mode: list,Products display in vertical list with larger images and more details per item,
PRODUCTS_TC_004,Verify product sorting options work (Price Low-High),User on collection page,"1. Open sort dropdown
2. Select ""Price: Low to High""",Sort: price_low,"Products reorder by price ascending, URL parameter updates (?sort_by=price-low)",
PRODUCTS_TC_005,Verify product sorting options work (Newest),User on collection page,"1. Open sort dropdown
2. Select ""Newest""",Sort: created_desc,"Products reorder by creation date descending, newest items appear first",
PRODUCTS_TC_006,Verify product filtering by availability works,User on collection page,"1. Check ""In Stock"" filter
2. Apply filters",Filter: available:true,"Only in-stock products display, out-of-stock items hidden, filter badge shows",
PRODUCTS_TC_007,Verify product filtering by price range works,User on collection page,"1. Set min price: $20
2. Set max price: $50
3. Apply",Filter: price 20-50,"Only products within price range display, price slider/inputs update correctly",
PRODUCTS_TC_008,Verify product filtering by product type works,User on collection page,"1. Check ""Jackets"" in product type filter
2. Apply",Filter: product_type:Jackets,"Only jacket products display, other types hidden, filter count shows matching items",
PRODUCTS_TC_009,Verify product filtering by vendor works,User on collection page,"1. Select vendor ""Sauce Labs""
2. Apply",Filter: vendor:Sauce Labs,"Only products from selected vendor display, vendor filter badge active",
PRODUCTS_TC_010,Verify multiple filters can be combined,User on collection page,"1. Filter: In Stock + Price $30-60 + Type: Tops
2. Apply",Filters: multiple,"Products matching ALL criteria display, combined filter badges shown, can remove individually",
PRODUCTS_TC_011,Verify clear all filters button works,User has active filters,"1. Click ""Clear all"" button
2. Observe results",Filters: any active,"All filters removed, product grid resets to unfiltered state, URL parameters cleared",
PRODUCTS_TC_012,Verify filter selections persist on pagination,User on page 2 with filters,"1. Apply filters on page 1
2. Navigate to page 2
3. Verify filters still applied",Pagination: page=2,"Filters remain active on page 2, results consistent with filter criteria",
PRODUCTS_TC_013,Verify search functionality returns relevant results,User uses header search,"1. Type ""jacket"" in search
2. Press Enter or click search",Query: jacket,"Search results page shows products with ""jacket"" in title, description, or tags",
PRODUCTS_TC_014,Verify search handles typos with suggestions,User types misspelled query,"1. Type ""jakcet"" in search
2. Observe results",Query: jakcet (typo),"Results show ""Did you mean: jacket"" suggestion, still returns relevant products",
PRODUCTS_TC_015,"Verify search shows """"no results"""" state appropriately",User searches for nonexistent item,"1. Search for ""xyz123nonexistent""",Query: nonexistent,"Page shows friendly ""No products found"" message with suggestions to browse or refine search",
PRODUCTS_TC_016,Verify search results can be sorted and filtered,User on search results page,"1. Perform search
2. Apply sort and filters",Search + filters,"Results update dynamically, sort/filter work same as collection pages",
PRODUCTS_TC_017,Verify product tags are clickable and filter results,User viewing product or collection,"1. Click on product tag (e.g., ""Summer"")
2. Observe navigation",Tag: Summer,"Redirects to collection filtered by that tag, URL includes tag parameter",
PRODUCTS_TC_018,Verify product comparison feature works (if available),User selects multiple products,"1. Check ""Compare"" on 2-3 products
2. Click Compare button",Products: 2-3 selected,"Comparison modal/table opens showing specs, prices, features side-by-side",
